00001|000005
00001|000036
00002|000023
00002|000030
00003|000016
00003|000048
00004|000035
00005|000021
00005|000003
00005|000028
00006|000046
00007|000015
00007|000047
00008|000033
00009|000020
00009|000002
00009|000027
00009|000008
00010|000045
00011|000032
00011|000013
00012|000018
00012|000050
00012|000007
00013|000043
00013|000025
00014|000030
00014|000012
00015|000049
00015|000005
00016|000017
00016|000024
00017|000042
00018|000029
00018|000011
00018|000001
00019|000047
00019|000004
00019|000036
00020|000041
00020|000022
00021|000009
00021|000047
00022|000046
00022|000027
00022|000002
00022|000034
00023|000021
00024|000007
00024|000039
00025|000044
00025|000026
00026|000001
00027|000038
00027|000019
00028|000006
00029|000024
00029|000031
00030|000018
00030|000050
